Movie Title,Worldwide Box Office,International Box Office,Domestic Box Office,Total Expert Reviews,Avg Expert Score,Avg Positive Emotion
Waiting for the Barbarians,745818.00,745818.00,n/a,6,5.8333333333333333,5.3633333333333333
King Cobra,,,74712.00,6,6.8333333333333333,1.11833333333333333333
Interview,,,416417.00,6,6.0000000000000000,13.7866666666666667
The Benefactor,2151028.00,2151028.00,n/a,6,4.5000000000000000,2.8933333333333333
White Material,,,304020.00,6,4.0000000000000000,3.9916666666666667
Antwone Fisher,23367586.00,2289441.00,21078145.00,6,7.1666666666666667,0.70333333333333333333
Feel the Noise,6423995.00,556209.00,5867786.00,6,2.8333333333333333,5.4216666666666667
"Life, Animated",382203.00,127465.00,254738.00,6,8.0000000000000000,1.1883333333333333
The Perfect Host,51587.00,2823.00,48764.00,6,6.0000000000000000,1.2533333333333333
Maid in Manhattan,163838217.00,69905321.00,93932896.00,6,5.6666666666666667,2.3716666666666667
The Kill Team,,,19183.00,6,6.1666666666666667,4.1650000000000000
Rage,,,n/a,6,3.3333333333333333,3.4900000000000000
Undiscovered,,,1069318.00,6,0E-20,5.9166666666666667
Wordplay,3177636.00,56366.00,3121270.00,6,7.8333333333333333,0.30500000000000000000
What a Girl Wants,37216643.00,1226138.00,35990505.00,6,7.3333333333333333,2.2800000000000000
The Motel,,,51540.00,6,6.5000000000000000,6.2316666666666667
Beastie Boys Story,,,n/a,6,8.0000000000000000,0.90666666666666666667
Monkey Kingdom,17159530.00,727208.00,16432322.00,6,7.6666666666666667,0.64500000000000000000
Radio,53293628.00,959890.00,52333738.00,6,8.3333333333333333,4.0066666666666667
Hannah Arendt,7219785.00,6502580.00,717205.00,6,6.8333333333333333,1.3333333333333333
Flower,390803.00,62615.00,328188.00,6,6.0000000000000000,0.62666666666666666667
Looking for Comedy in the Muslim World,,,887416.00,6,4.5000000000000000,2.8183333333333333
Black Bear,,,n/a,6,7.6666666666666667,1.5850000000000000
Rupture,14866.00,14866.00,n/a,6,4.5000000000000000,4.7800000000000000
Ping Pong Playa,,,77907.00,6,7.8333333333333333,1.6350000000000000
Hysteria,15342913.00,13538774.00,1804139.00,6,6.8333333333333333,2.4300000000000000
The Merchant of Venice,18765585.00,15000000.00,3765585.00,6,8.1666666666666667,3.4233333333333333
Daltry Calhoun,,,12460.00,6,9.0000000000000000,1.3033333333333333
In Darkness,236409.00,236409.00,n/a,6,5.0000000000000000,1.7466666666666667
Wolf Creek 2,165329.00,165329.00,n/a,6,6.3333333333333333,4.4883333333333333
Together Together,,,1436324.00,6,6.8333333333333333,0.86666666666666666667
Austenland,2213406.00,75833.00,2137573.00,6,5.1666666666666667,2.8116666666666667
Lizzie,866537.00,224380.00,642157.00,6,6.3333333333333333,2.0666666666666667
Shock and Awe,29936.00,29936.00,n/a,6,4.1666666666666667,5.1850000000000000
"20,000 Days on Earth",1980839.00,1701281.00,279558.00,6,4.5000000000000000,1.6816666666666667
Dirty Pretty Things,14156753.00,6044339.00,8112414.00,6,7.8333333333333333,1.5766666666666667
Monkeybone,,,5409517.00,6,5.1666666666666667,1.4400000000000000
What Love Is,,,18901.00,6,8.8333333333333333,0.90166666666666666667
Unaccompanied Minors,21970831.00,5315607.00,16655224.00,6,8.3333333333333333,1.14166666666666666667
Wrecked,,,8020.00,6,7.1666666666666667,3.1483333333333333
Supernova,14816494.00,597626.00,14218868.00,6,7.0000000000000000,1.6083333333333333
Saint Laurent,436494.00,7017.00,429477.00,6,7.5000000000000000,2.4916666666666667
Murder by Numbers,56643267.00,24768398.00,31874869.00,6,4.3333333333333333,5.5533333333333333
"Love, Gilda",,,626318.00,6,8.1666666666666667,2.2800000000000000
Clean,,,138711.00,6,6.6666666666666667,1.6816666666666667
The Gospel,,,15778152.00,6,6.8333333333333333,3.9866666666666667
Finding Vivian Maier,3596550.00,2087419.00,1509131.00,6,8.3333333333333333,0.83166666666666666667
James White,112951.00,11583.00,101368.00,6,6.6666666666666667,4.1633333333333333
Laggies,2262436.00,1822098.00,440338.00,6,6.8333333333333333,2.6000000000000000
Persecuted,,,1557494.00,6,5.3333333333333333,3.8733333333333333
Owning Mahowny,1147871.00,136817.00,1011054.00,6,8.0000000000000000,3.8416666666666667
Not Fade Away,,,610792.00,6,6.8333333333333333,1.7516666666666667
Adam,2834485.00,551194.00,2283291.00,6,1.1666666666666667,5.2033333333333333
Gemini,,,200340.00,6,5.8333333333333333,1.7966666666666667
Creature,533235.00,24521.00,508714.00,6,6.0000000000000000,4.6933333333333333
Blancanieves,2495971.00,2259577.00,236394.00,6,7.3333333333333333,0.67000000000000000000
Faults,,,n/a,6,7.8333333333333333,1.2550000000000000
Strangerland,161097.00,143625.00,17472.00,6,3.1666666666666667,3.6700000000000000
Ghosts of War,125224.00,125224.00,n/a,6,3.0000000000000000,5.6700000000000000
Encounter,,,n/a,6,4.6666666666666667,3.3333333333333333
Martyrs,1548909.00,1548909.00,n/a,6,3.1666666666666667,5.2783333333333333
Hard Luck Love Song,,,69496.00,6,9.8333333333333333,1.07166666666666666667
