Movie Title,Opening Weekend,Avg Expert Score,Avg User Score
Waitress,92034.00,75.9411764705882353,6.9622641509433962
Morning Glory,9203266.00,60.2368421052631579,6.5806451612903226
Leap Year,9202815.00,39.0333333333333333,5.6315789473684211
How to Make Money Selling Drugs,9202.00,70.8333333333333333,10.0000000000000000
Robin Hood,9195670.00,58.8000000000000000,6.0354609929078014
The Wolf of Snow Hollow,91943.00,68.1538461538461538,6.2500000000000000
Maria by Callas,91915.00,73.3888888888888889,7.5000000000000000
Just Friends,9191331.00,50.8571428571428571,7.0000000000000000
The Nile Hilton Incident,9183.00,70.5000000000000000,7.2500000000000000
Fatale,918112.00,49.5384615384615385,4.6000000000000000
Theeb,9181.00,79.7222222222222222,7.8000000000000000
Wonderland,91798.00,48.2777777777777778,8.0000000000000000
The Tao of Steve,91791.00,73.6000000000000000,9.0000000000000000
The Matrix Reloaded,91774413.00,66.7750000000000000,7.1413043478260870
Bloodshot,9176695.00,47.4000000000000000,4.9672131147540984
A Sound of Thunder,917398.00,31.4615384615384615,2.9090909090909091
Stardust,9169779.00,68.0606060606060606,8.4141414141414141
Cake,916179.00,53.1578947368421053,6.2307692307692308
Dancer in the Dark,91612.00,64.2727272727272727,8.3437500000000000
Gamer,9156057.00,34.8461538461538462,5.1126760563380282
Hatchet,9152.00,59.1250000000000000,6.7333333333333333
Aladdin,91500929.00,56.9200000000000000,6.7105263157894737
Johnny English,9134085.00,54.7500000000000000,7.2631578947368421
13 Sins,9134.00,49.0000000000000000,6.3529411764705882
Manufactured Landscapes,9129.00,79.9375000000000000,4.6666666666666667
Meru,91279.00,76.7500000000000000,9.0000000000000000
Explicit Ills,9125.00,58.7500000000000000,5.0000000000000000
The Alamo,9124701.00,52.5000000000000000,4.6000000000000000
Another Happy Day,9120.00,49.3888888888888889,7.5000000000000000
Courageous,9112839.00,48.1000000000000000,8.4324324324324324
The Transporter,9107816.00,54.9629629629629630,7.0000000000000000
Crash,9107071.00,68.8611111111111111,7.9433962264150943
Alpha and Omega,9106906.00,41.9333333333333333,5.9655172413793103
I Still Believe,9103614.00,44.4166666666666667,7.4000000000000000
Visitors,9094.00,62.7000000000000000,7.0000000000000000
Lone Survivor,90872.00,62.7272727272727273,7.6521739130434783
Luther,908446.00,52.9565217391304348,6.0000000000000000
The Endless,9083.00,79.3636363636363636,6.8275862068965517
Ultraviolet,9064880.00,24.9473684210526316,3.6372549019607843
The Watcher,9062295.00,29.0714285714285714,6.2500000000000000
Inside Out,90440272.00,31.5000000000000000,4.6666666666666667
Lars and the Real Girl,90418.00,71.0625000000000000,7.6621621621621622
The Brothers Bloom,90400.00,59.1923076923076923,8.6153846153846154
Frequency,9025584.00,70.3125000000000000,8.6956521739130435
Corky Romano,9023173.00,27.4782608695652174,7.1666666666666667
Hearts in Atlantis,9021494.00,60.1000000000000000,7.7142857142857143
September Dawn,901857.00,32.7777777777777778,3.7500000000000000
The Golden Bowl,90170.00,64.3666666666666667,8.0000000000000000
Rollerball,9013548.00,21.1071428571428571,0.90000000000000000000
The New Guy,9007833.00,29.0869565217391304,6.2222222222222222
Chloe,900688.00,54.2424242424242424,4.5000000000000000
My Summer of Love,90022.00,82.2903225806451613,5.6250000000000000
Land,899810.00,63.2187500000000000,4.5714285714285714
The Private Lives of Pippa Lee,89950.00,54.6875000000000000,6.6666666666666667
Sunshine Superman,8991.00,73.1500000000000000,8.0000000000000000
The Wall,897955.00,68.6666666666666667,8.0000000000000000
Where to Invade Next,897034.00,67.3684210526315789,8.2222222222222222
Seoul Searching,8966.00,65.8888888888888889,7.3333333333333333
Wuthering Heights,8956.00,70.7500000000000000,6.3333333333333333
Girl with a Pearl Earring,89472.00,74.7837837837837838,7.1666666666666667
A Kid Like Jake,8936.00,60.3000000000000000,5.3333333333333333
The Mist,8931973.00,63.5517241379310345,6.3903743315508021
Man of the House,8917251.00,40.5000000000000000,4.5000000000000000
Waiting for Forever,8917.00,33.0714285714285714,7.0000000000000000
The Descent,8911330.00,73.9666666666666667,7.3161290322580645
The Bad Batch,89111.00,62.4000000000000000,5.3333333333333333
Sleeping with Other People,89102.00,66.2962962962962963,6.5000000000000000
Letters from Iwo Jima,89097.00,87.5405405405405405,7.9082568807339450
The Eyes of My Mother,8908.00,64.4782608695652174,5.8000000000000000
Twisted,8904299.00,33.3823529411764706,3.0000000000000000
Shaft,8901419.00,56.1515151515151515,7.0000000000000000
Leviathan,8900.00,91.0588235294117647,6.2692307692307692
Last Call at the Oasis,8899.00,66.2857142857142857,8.0000000000000000
Waking Life,88977.00,82.1290322580645161,7.7142857142857143
Dogville,88855.00,63.7948717948717949,7.3428571428571429
